sku_prefix,lot,printed_date
GRE-AS,UO24,2025-08-01
PEA-SS,UO24,2025-08-01
PEA-SA,FF24,2025-08-01
PEA-GS,UO20,2025-08-01
PEA-RV,UO23,2025-08-01
PEA-HL,UO22,2025-08-01
TOM-AF,UO22,2025-08-01
TOM-AN,UO24,2025-08-01
TOM-BC,UO21,2025-08-01
TOM-BP,UO21,2025-08-01
TOM-CA,UO23,2025-08-01
TOM-CE,UO24,2025-08-01
TOM-AL,UO24,2025-08-01
TOM-FI,UO24,2025-08-01
TOM-GA,UO22,2025-08-01
TOM-GS,UO23,2025-08-01
TOM-GM,AV24,2025-08-01
TOM-IH,UO24,2025-08-01
TOM-JF,UO24,2025-08-01
TOM-KO,UO22,2025-08-01
TOM-LA,AV24,2025-08-01
TOM-MY,UO23,2025-08-01
TOM-PG,UO24,2025-08-01
TOM-PR,UO24,2025-08-01
TOM-PI,UO23,2025-08-01
TOM-SB,UO24,2025-08-01
TOM-SH,UO24,2025-08-01
TOM-TA,UO24,2025-08-01
TOM-VZ,UO24,2025-08-01
TGC-AM,UO24,2025-08-01
PEP-BA,UO24,2025-08-01
PEP-AS,UO24,2025-08-01
PEP-BA,WG24,2025-08-01
PEP-CC,UO24,2025-08-01
PEP-CZ,UO23,2025-08-01
PEP-DH,TR24,2025-08-01
PEP-JN,CF23,2025-08-01
PEP-LY,AV24,2025-08-01
PEP-PA,UO22,2025-08-01
PEP-PM,UO24,2025-08-01
PEP-SR,TR24,2025-08-01
PEP-SP,AV24,2025-08-01
PEP-SU,UO23,2025-08-01
PEP-TM,UO22,2025-08-01
PEP-TU,UO22,2025-08-01
PEP-YN,AV24,2025-08-01
LEE-BW,AV23,2025-08-01
ONI-IS,UO23,2025-08-01
ONI-ER,MP23,2025-08-01
ONI-RM,UO24,2025-08-01
RAD-SO,UO23,2025-08-01
RAD-GL,UO24,2025-08-01
RAD-FB,UO22,2025-08-01
MEL-GI,UO23,2025-08-01
CUC-SM,MP23,2025-08-01
BEA-TA,UO24,2025-08-01
BEA-BI,UO24,2025-08-01
BEA-BP,UO23,2025-08-01
BEA-BG,UO24,2025-08-01
BEA-CA,UO22,2025-08-01
BEA-HP,UO23,2025-08-01
BEA-DR,EO22,2025-08-01
BEA-FL,UO22,2025-08-01
BEA-FO,UO22,2025-08-01
BEA-FO,UO24,2025-08-01
BEA-GR,EO21,2025-08-01
BEA-HU,UO23,2025-08-01
BEA-IC,UO23,2025-08-01
BEA-JG,UO23,2025-08-01
BEA-KM,UO24,2025-08-01
BEA-KY,UO24,2025-08-01
BEA-LC,UO22,2025-08-01
BEA-MX,UO24,2025-08-01
BEA-PA,UO21,2025-08-01
BEA-PE,UO23,2025-08-01
BEA-SO,UO21,2025-08-01
BEA-PR,EO22,2025-08-01
BEA-RO,UO22,2025-08-01
BEA-RL,UO24,2025-08-01
BEA-SB,UO23,2025-08-01
BEA-TP,UO23,2025-08-01
BEA-TE,UO24,2025-08-01
BEA-AT,UO24,2025-08-01
BEA-TV,UO24,2025-08-01
CAR-TO,TR23,2025-08-01
CAR-DR,TR23,2025-08-01
CAR-SN,TR24,2025-08-01
CAR-YE,TR22,2025-08-01
PAR-SS,AV24,2025-08-01
SQU-BI,TR23,2025-08-01
SQU-BF,AV24,2025-08-01
SQU-FU,UO22,2025-08-01
SQU-BB,UO23,2025-08-01
SQU-SR,MP23,2025-08-01
SQU-SM,AV23,2025-08-01
WAT-BM,UO23,2025-08-01
WAT-BM,TR24,2025-08-01
BRO-SO,UO22,2025-08-01
CAU-PR,MF24,2025-08-01
CAB-NS,UO24,2025-08-01
CAB-FK,UO24,2025-08-01
CAB-M2,MP23,2025-08-01
BRO-NO,AV23,2025-08-01
BRO-SM,UO24,2025-08-01
GRE-PC,MP22,2025-08-01
SPI-BE,UO23,2025-08-01
GRE-WC,UO24,2025-08-01
LET-AY,UO23,2025-08-01
LET-BG,UO23,2025-08-01
LET-BI,UO23,2025-08-01
LET-FB,UO23,2025-08-01
LET-GA,AV23,2025-08-01
LET-LB,AV23,2025-08-01
LET-MA,AV23,2025-08-01
LET-OS,AV23,2025-08-01
LET-PI,TR23,2025-08-01
LET-RR,UO23,2025-08-01
LET-SB,UO24,2025-08-01
LET-AB,UO23,2025-08-01
LET-AB,UO24,2025-08-01
LET-WD,UO23,2025-08-01
FEN-FI,AV23,2025-08-01
HER-GP,AV24,2025-08-01
HER-IL,UO23,2025-08-01
HER-BC,UO23,2025-08-01
HER-VE,UO23,2025-08-01
HER-PJ,AV23,2025-08-01
HER-EC,UO23,2025-08-01
HER-EC,UO24,2025-08-01
HER-ME,UO24,2025-08-01
HER-HY,UO24,2025-08-01
HER-MP,UO23,2025-08-01
HER-MT,UO24,2025-08-01
SWP-AP,FS24,2025-08-01
VET-AZ,UO22,2025-08-01
FOC-FM,UO24,2025-08-01
FOC-FT,UO23,2025-08-01
NAS-AL,UO24,2025-08-01
NAS-TM,UO22,2025-08-01
PHA-BF,UO24,2025-08-01
SUN-RE,UO24,2025-08-01
SUN-SO,AV22,2025-08-01
AMA-CF,UO24,2025-08-01
AMA-HB,UO24,2025-08-01
AST-HH,MP24,2025-08-01
AST-TC,UO23,2025-08-01
AST-TS,MP22,2025-08-01
AMA-OP,UO23,2025-08-01
BAB-FB,UO23,2025-08-01
BFL-AB,UO22,2025-08-01
FLO-BO,UO22,2025-08-01
FLO-BO,UO24,2025-08-01
CEL-SC,UO24,2025-08-01
CER-PG,UO23,2025-08-01
CLE-VQ,UO23,2025-08-01
CLB-BL,UO23,2025-08-01
CLB-LS,UO22,2025-08-01
CRP-RO,UO22,2025-08-01
FOX-AB,UO24,2025-08-01
FOX-WC,UO23,2025-08-01
LAR-BC,UO22,2025-08-01
LAR-EG,AV24,2025-08-01
LAR-SB,UO24,2025-08-01
DID-LB,UO22,2025-08-01
NIC-OL,UO23,2025-08-01
NIC-BQ,UO23,2025-08-01
NIG-BV,FL23,2025-08-01
NIG-BV,TR24,2025-08-01
NIG-DB,UO24,2025-08-01
NIG-EX,UO22,2025-08-01
RUD-PG,UO24,2025-08-01
RUD-PR,TR24,2025-08-01
RUD-SH,UO22,2025-08-01
SAL-TV,UO24,2025-08-01
SAL-WS,UO22,2025-08-01
SAP-WB,UO24,2025-08-01
SAL-TH,UO24,2025-08-01
SNA-OW,UO24,2025-08-01
SNA-RB,UO22,2025-08-01
STR-AP,UO21,2025-08-01
STR-MF,MP21,2025-08-01
STR-SR,UO23,2025-08-01
VRB-AS,UO24,2025-08-01
VRB-PM,UO24,2025-08-01
ZUC-DS,UO24,2025-08-01
ZUC-CR,CF24,2025-08-01
ONI-RL,UO23,2025-08-01
ONI-SR,UO22,2025-08-01
CUC-SH,UO22,2025-08-01
NIC-LD,UO22,2025-08-01
POP-BS,UO23,2025-08-01
COR-DB,UO22,2025-08-01
SPI-WG,UO22,2025-08-01
HER-BF,UO22,2025-08-01
GRE-WA,UO22,2025-08-01
GRE-TA,UO22,2025-08-01
SQU-PO,MP22,2025-08-01
SQU-YC,AV22,2025-08-01
ZUC-CR,UO22,2025-08-01
TOM-GG,UO22,2025-08-01
TOM-RP,UO22,2025-08-01
TOM-SL,UO22,2025-08-01
TOM-SO,UO22,2025-08-01
TOM-ST,UO22,2025-08-01
POP-LP,UO22,2025-08-01
LEE-NE,TR23,2025-08-01
GAR-BK,UO23,2025-08-01
FLA-OM,UO23,2025-08-01
LUP-DT,UO23,2025-08-01
POP-MP,CF23,2025-08-01
RUD-GW,UO23,2025-08-01
SUN-GS,AV23,2025-08-01
COR-AB,UO23,2025-08-01
COR-FL,WG23,2025-08-01
WHE-BE,SW23,2025-08-01
WHE-BE,UO23,2025-08-01
WHE-EB,UO23,2025-08-01
HER-GK,TR23,2025-08-01
LET-ER,UO23,2025-08-01
PEA-CA,FF23,2025-08-01
PEA-MA,FF23,2025-08-01
PEA-SR,FF23,2025-08-01
PUM-LP,TR23,2025-08-01
PUM-WL,UO23,2025-08-01
ACH-DD,UO22,2025-08-01
SQU-ZE,AV23,2025-08-01
TOM-BL,UO23,2025-08-01
TOM-MG,UO23,2025-08-01
TGC-QM,UO23,2025-08-01
FOC-BE,UO23,2025-08-01
LEE-NE,AV24,2025-08-01
BEA-CI,UO24,2025-08-01
BEA-GI,UO24,2025-08-01
BEE-CR,UO24,2025-08-01
FAV-KA,UO24,2025-08-01
BEE-TG,MP24,2025-08-01
CUC-CE,UO24,2025-08-01
MEL-PF,TR24,2025-08-01
PEP-BM,UO24,2025-08-01
PEP-BP,AV24,2025-08-01
PEP-SG,UO24,2025-08-01
AST-HP,UO24,2025-08-01
BAB-BB,UO24,2025-08-01
COS-CW,TR24,2025-08-01
COS-VE,WG24,2025-08-01
ERY-BG,UO24,2025-08-01
MAR-FB,UO24,2025-08-01
NIC-LG,UO24,2025-08-01
NIC-PS,UO24,2025-08-01
POP-AG,UO24,2025-08-01
POP-CA,UO24,2025-08-01
POP-FA,UO24,2025-08-01
POP-PM,UO24,2025-08-01
POP-ZI,FL24,2025-08-01
SCA-BK,FL24,2025-08-01
SCA-FB,UO24,2025-08-01
SCA-GY,UO24,2025-08-01
SCA-SM,UO24,2025-08-01
SUN-TA,WG24,2025-08-01
ZIN-BE,WG24,2025-08-01
ZIN-IS,MP24,2025-08-01
ZIN-OC,UO24,2025-08-01
ZIN-QP,TR24,2025-08-01
COR-PM,SN24,2025-08-01
GRE-GF,UO24,2025-08-01
GRE-MZ,MP24,2025-08-01
GRE-RU,UO24,2025-08-01
SPI-WB,UO24,2025-08-01
HER-CM,UO24,2025-08-01
MON-LB,UO24,2025-08-01
LET-ER,UO24,2025-08-01
LET-ME,UO24,2025-08-01
LET-MQ,UO24,2025-08-01
LET-PI,UO24,2025-08-01
STB-AW,UO24,2025-08-01
TOM-MS,UO24,2025-08-01
