sku_prefix,sku_suffix,lineitem_name
LET-SB,1/4lb,"Lettuce, 'Scarlet Butter' - 1/4 lb"
LET-AB,pkt,"Lettuce, 'Speckled' - Pkt"
LET-AB,1/4oz,"Lettuce, 'Speckled' - 1/4 oz"
LET-AB,1oz,"Lettuce, 'Speckled' - 1 oz"
LET-AB,1/4lb,"Lettuce, 'Speckled' - 1/4 lb"
LET-TB,pkt,"Lettuce, 'Tennis Ball' - Pkt"
LET-TB,1/4oz,"Lettuce, 'Tennis Ball' - 1/4 oz"
LET-TB,1oz,"Lettuce, 'Tennis Ball' - 1 oz"
LET-TB,1/4lb,"Lettuce, 'Tennis Ball' - 1/4 lb"
LET-TB,1lb,"Lettuce, 'Tennis Ball' - 1 lb"
LET-RG,pkt,"Lettuce, 'Reine des Glaces' - Pkt"
LET-RG,1/4oz,"Lettuce, 'Reine des Glaces' - 1/4 oz"
LET-RG,1oz,"Lettuce, 'Reine des Glaces' - 1 oz"
LET-RG,1/4lb,"Lettuce, 'Reine des Glaces' - 1/4 lb"
LET-RG,1lb,"Lettuce, 'Reine des Glaces' - 1 lb"
LET-SU,pkt,"Lettuce, 'Summertime' - Pkt"
LET-SU,1/4oz,"Lettuce, 'Summertime' - 1/4 oz"
LET-SU,1oz,"Lettuce, 'Summertime' - 1 oz"
LET-AY,pkt,"Lettuce, 'Australian Yellowleaf' - Pkt"
LET-AY,1/4oz,"Lettuce, 'Australian Yellowleaf' - 1/4 oz"
LET-AY,1oz,"Lettuce, 'Australian Yellowleaf' - 1 oz"
LET-AY,1/4lb,"Lettuce, 'Australian Yellowleaf' - 1/4 lb"
LET-CR,pkt,"Lettuce, 'Cracoviensis' - Pkt"
LET-CR,1/4oz,"Lettuce, 'Cracoviensis' - 1/4 oz"
LET-CR,1oz,"Lettuce, 'Cracoviensis' - 1 oz"
LET-EM,pkt,"Lettuce, 'Emerald Fan' - Pkt"
LET-EM,1/4oz,"Lettuce, 'Emerald Fan' - 1/4 oz"
LET-EM,1oz,"Lettuce, 'Emerald Fan' - 1 oz"
LET-EM,1/4lb,"Lettuce, 'Emerald Fan' - 1/4 lb"
LET-EM,1lb,"Lettuce, 'Emerald Fan' - 1 lb"
LET-AD,pkt,"Lettuce, 'Grandpa Admire's' - Pkt"
LET-AD,1/4oz,"Lettuce, 'Grandpa Admire's' - 1/4 oz"
LET-AD,1oz,"Lettuce, 'Grandpa Admire's' - 1 oz"
LET-AD,1/4lb,"Lettuce, 'Grandpa Admire's' - 1/4 lb"
LET-AD,1lb,"Lettuce, 'Grandpa Admire's' - 1 lb"
LET-HR,pkt,"Lettuce, 'Hyper Red Rumpled Wave' - Pkt"
LET-HR,1/4oz,"Lettuce, 'Hyper Red Rumpled Wave' - 1/4 oz"
LET-HR,1oz,"Lettuce, 'Hyper Red Rumpled Wave' - 1 oz"
LET-HR,1/4lb,"Lettuce, 'Hyper Red Rumpled Wave' - 1/4 lb"
LET-HR,1lb,"Lettuce, 'Hyper Red Rumpled Wave' - 1 lb"
LET-LB,pkt,"Lettuce, 'La Brillante' - Pkt"
LET-LB,1/4oz,"Lettuce, 'La Brillante' - 1/4 oz"
LET-LB,1oz,"Lettuce, 'La Brillante' - 1 oz"
LET-OD,pkt,"Lettuce, 'Les Orielles du Diable' (Devil's Ears) - Pkt"
LET-OD,1/4oz,"Lettuce, 'Les Orielles du Diable' (Devil's Ears) - 1/4 oz"
LET-OD,1oz,"Lettuce, 'Les Orielles du Diable' (Devil's Ears) - 1 oz"
LET-OD,1/4lb,"Lettuce, 'Les Orielles du Diable' (Devil's Ears) - 1/4 lb"
LET-ME,pkt,"Lettuce, 'Merlot' - Pkt"
LET-ME,1/4oz,"Lettuce, 'Merlot' - 1/4 oz"
LET-ME,1oz,"Lettuce, 'Merlot' - 1 oz"
LET-ME,1/4lb,"Lettuce, 'Merlot' - 1/4 lb"
LET-RV,pkt,"Lettuce, 'Revolution' - Pkt"
LET-RV,1/4oz,"Lettuce, 'Revolution' - 1/4 oz"
LET-RV,1oz,"Lettuce, 'Revolution' - 1 oz"
LET-RV,1/4lb,"Lettuce, 'Revolution' - 1/4 lb"
LET-RR,pkt,"Lettuce, 'Royal Red' - Pkt"
LET-RR,1/4oz,"Lettuce, 'Royal Red' - 1/4 oz"
LET-RR,1oz,"Lettuce, 'Royal Red' - 1 oz"
LET-RR,1/4lb,"Lettuce, 'Royal Red' - 1/4 lb"
LET-RR,1lb,"Lettuce, 'Royal Red' - 1 lb"
LET-BI,pkt,"Lettuce, 'Bijella' - Pkt"
LET-BI,1/4oz,"Lettuce, 'Bijella' - 1/4 oz"
LET-BI,1oz,"Lettuce, 'Bijella' - 1 oz"
LET-BI,1/4lb,"Lettuce, 'Bijella' - 1/4 lb"
LET-BI,1lb,"Lettuce, 'Bijella' - 1 lb"
LET-FB,pkt,"Lettuce, 'Flashy Butter Oak' - Pkt"
LET-FB,1/4oz,"Lettuce, 'Flashy Butter Oak' - 1/4 oz"
LET-FB,1oz,"Lettuce, 'Flashy Butter Oak' - 1 oz"
LET-FB,1/4lb,"Lettuce, 'Flashy Butter Oak' - 1/4 lb"
LET-GA,pkt,"Lettuce, 'Galisse' - Pkt"
LET-GA,1/4oz,"Lettuce, 'Galisse' - 1/4 oz"
LET-GA,1oz,"Lettuce, 'Galisse' - 1 oz"
LET-GA,1/4lb,"Lettuce, 'Galisse' - 1/4 lb"
LET-GR,pkt,"Lettuce, 'Goldrush' - Pkt"
LET-GR,1/4oz,"Lettuce, 'Goldrush' - 1/4 oz"
LET-GR,1oz,"Lettuce, 'Goldrush' - 1 oz"
LET-GR,1/4lb,"Lettuce, 'Goldrush' - 1/4 lb"
LET-IT,pkt,"Lettuce, 'Italienischer' - Pkt"
LET-IT,1/4oz,"Lettuce, 'Italienischer' - 1/4 oz"
LET-IT,1oz,"Lettuce, 'Italienischer' - 1 oz"
LET-IT,1/4lb,"Lettuce, 'Italienischer' - 1/4 lb"
LET-MA,pkt,"Lettuce, 'Mascara' - Pkt"
LET-MA,1/4oz,"Lettuce, 'Mascara' - 1/4 oz"
LET-MA,1oz,"Lettuce, 'Mascara' - 1 oz"
LET-MA,1/4lb,"Lettuce, 'Mascara' - 1/4 lb"
LET-OS,pkt,"Lettuce, 'Oscarde' - Pkt"
LET-OS,1/4oz,"Lettuce, 'Oscarde' - 1/4 oz"
LET-OS,1oz,"Lettuce, 'Oscarde' - 1 oz"
LET-OS,1/4lb,"Lettuce, 'Oscarde' - 1/4 lb"
LET-BG,pkt,"Lettuce, 'Barnwood Gem' - Pkt"
LET-BG,1/4oz,"Lettuce, 'Barnwood Gem' - 1/4 oz"
LET-BG,1oz,"Lettuce, 'Barnwood Gem' - 1 oz"
LET-CI,pkt,"Lettuce, 'Cimarron' - Pkt"
LET-CI,1/4oz,"Lettuce, 'Cimarron' - 1/4 oz"
LET-CI,1oz,"Lettuce, 'Cimarron' - 1 oz"
LET-CI,1/4lb,"Lettuce, 'Cimarron' - 1/4 lb"
LET-CI,1lb,"Lettuce, 'Cimarron' - 1 lb"
LET-ER,pkt,"Lettuce, 'Eruption' - Pkt"
LET-ER,1/4oz,"Lettuce, 'Eruption' - 1/4 oz"
LET-ER,1oz,"Lettuce, 'Eruption' - 1 oz"
LET-FT,pkt,"Lettuce, 'Flashy Trout's Back' - Pkt"
LET-FT,1/4oz,"Lettuce, 'Flashy Trout's Back' - 1/4 oz"
LET-FT,1oz,"Lettuce, 'Flashy Trout's Back' - 1 oz"
LET-JE,pkt,"Lettuce, 'Jericho' - Pkt"
LET-JE,1/4oz,"Lettuce, 'Jericho' - 1/4 oz"
LET-JE,1oz,"Lettuce, 'Jericho' - 1 oz"
LET-LG,pkt,"Lettuce, 'Little Gem' - Pkt"
LET-LG,1/4oz,"Lettuce, 'Little Gem' - 1/4 oz"
LET-LG,1oz,"Lettuce, 'Little Gem' - 1 oz"
LET-LG,1/4lb,"Lettuce, 'Little Gem' - 1/4 lb"
LET-PI,pkt,"Lettuce, 'Parris Island Cos' - Pkt"
LET-PI,1/4oz,"Lettuce, 'Parris Island Cos' - 1/4 oz"
LET-PI,1oz,"Lettuce, 'Parris Island Cos' - 1 oz"
LET-MX,pkt,Uprising Lettuce Mix - Pkt
LET-QH,pkt,"Lettuce, 'Queen of Hearts' - Pkt"
LET-QH,1/4oz,"Lettuce, 'Queen of Hearts' - 1/4 oz"
LET-QH,1oz,"Lettuce, 'Queen of Hearts' - 1 oz"
MEL-CL,pkt,"Carosello, 'Leccese Light Green' - Pkt"
MEL-CL,1/2oz,"Carosello, 'Leccese Light Green' - 1/2 oz"
MEL-CL,1oz,"Carosello, 'Leccese Light Green' - 1 oz"
MEL-MO,pkt,"Melon, 'Moscatello' - Pkt"
MEL-ER,pkt,"Melon, 'Eel River' - Pkt"
MEL-ER,1/2oz,"Melon, 'Eel River' - 1/2 oz"
MEL-ER,1oz,"Melon, 'Eel River' - 1 oz"
MEL-GI,pkt,"Melon, 'Giallo d'Inverno' - Pkt"
MEL-GI,1/2oz,"Melon, 'Giallo d'Inverno' - 1/2 oz"
MEL-GI,1oz,"Melon, 'Giallo d'Inverno' - 1 oz"
MEL-PF,pkt,"Melon, 'Prescott Fond Blanc' - Pkt"
MEL-PF,1/2oz,"Melon, 'Prescott Fond Blanc' - 1/2 oz"
MEL-PF,1oz,"Melon, 'Prescott Fond Blanc' - 1 oz"
MEL-SS,pkt,"Melon, 'Sakata Sweet' - Pkt"
MEL-SS,100s,"Melon, 'Sakata Sweet' - 100 seeds"
ONI-RM,pkt,"Storage Onion, 'Rossa di Milano' - Pkt"
ONI-RM,1/8oz,"Storage Onion, 'Rossa di Milano' - 1/8 oz"
ONI-RM,1/2oz,"Storage Onion, 'Rossa di Milano' - 1/2 oz"
ONI-RM,1oz,"Storage Onion, 'Rossa di Milano' - 1 oz"
ONI-IS,pkt,"Scallion, 'Ishikura Long Winter' - Pkt"
ONI-IS,1/4oz,"Scallion, 'Ishikura Long Winter' - 1/4 oz"
ONI-NY,pkt,"Storage Onion, 'New York Early' - Pkt"
ONI-NY,1/8oz,"Storage Onion, 'New York Early' - 1/8 oz"
ONI-NY,1/2oz,"Storage Onion, 'New York Early' - 1/2 oz"
ONI-NY,1oz,"Storage Onion, 'New York Early' - 1 oz"
ONI-RJ,pkt,"Storage Onion, 'Rijnsburg 5' - Pkt"
ONI-RJ,1/8oz,"Storage Onion, 'Rijnsburg 5' - 1/8 oz"
ONI-RJ,1/2oz,"Storage Onion, 'Rijnsburg 5' - 1/2 oz"
ONI-RJ,1oz,"Storage Onion, 'Rijnsburg 5' - 1 oz"
ONI-SR,pkt,"Storage Onion, 'Stuttgarter Riesen' - Pkt"
ONI-SR,1/8oz,"Storage Onion, 'Stuttgarter Riesen' - 1/8 oz"
ONI-SR,1/2oz,"Storage Onion, 'Stuttgarter Riesen' - 1/2 oz"
ONI-SR,1oz,"Storage Onion, 'Stuttgarter Riesen' - 1 oz"
ONI-AC,pkt,Sweet Onion 'Ailsa Craig' - Pkt
ONI-AC,1/8oz,Sweet Onion 'Ailsa Craig' - 1/8 oz
ONI-AC,1/2oz,Sweet Onion 'Ailsa Craig' - 1/2 oz
ONI-RL,pkt,"Sweet Onion, 'Red Long of Tropea' - Pkt"
ONI-RL,1/8oz,"Sweet Onion, 'Red Long of Tropea' - 1/8 oz"
ONI-RL,1/2oz,"Sweet Onion, 'Red Long of Tropea' - 1/2 oz"
ONI-RL,1oz,"Sweet Onion, 'Red Long of Tropea' - 1oz"
ONI-SS,pkt,"Sweet Onion, 'Siskiyou Sweet' - Pkt"
ONI-SS,1/8oz,"Sweet Onion, 'Siskiyou Sweet' - 1/8 oz"
ONI-SS,1/2oz,"Sweet Onion, 'Siskiyou Sweet' - 1/2 oz"
PEA-SS,pkt,"Snap Pea, 'Sugar Snap' - Pkt"
PEA-SS,1/2lb,"Snap Pea, 'Sugar Snap' - 1/2 lb"
PEA-SS,1lb,"Snap Pea, 'Sugar Snap' - 1 lb"
COW-FL,pkt,"Cowpea, 'Fast Lady Northern/Southern Pea' - Pkt"
COW-FL,1/4lb,"Cowpea, 'Fast Lady Northern/Southern Pea' - 1/4 lb"
COW-FL,1lb,"Cowpea, 'Fast Lady Northern/Southern Pea' - 1 lb"
PEA-RV,pkt,"Pea, Dry/Soup, 'Roveja' - Pkt"
PEA-RV,1/2lb,"Pea, Dry/Soup, 'Roveja' - 1/2 lb"
PEA-RV,1lb,"Pea, Dry/Soup, 'Roveja' - 1 lb"
PEA-SA,pkt,"Snap Pea, 'Sugar Ann' - Pkt"
PEA-SA,1/2lb,"Snap Pea, 'Sugar Ann' - 1/2 lb"
PEA-SA,1lb,"Snap Pea, 'Sugar Ann' - 1 lb"
PEA-SA,2.5lb,
PEA-SA,5lb,"Snap Pea, 'Sugar Ann' - 5 lb"
PEA-MA,pkt,"Shelling Pea, 'Maestro' - Pkt"
PEA-MA,1/2lb,"Shelling Pea, 'Maestro' - 1/2 lb"
PEA-MA,1lb,"Shelling Pea, 'Maestro' - 1 lb"
PEA-CA,pkt,"Snap Pea, 'Cascadia' - Pkt"
PEA-CA,1/2lb,"Snap Pea, 'Cascadia' - 1/2 lb"
PEA-CA,1lb,"Snap Pea, 'Cascadia' - 1 lb"
PEA-CA,2.5lb,
PEA-CA,5lb,"Snap Pea, 'Cascadia' - 5 lb"
PEA-GS,pkt,"Snow Pea, 'Golden Sweet' - Pkt"
PEA-GS,1/2lb,"Snow Pea, 'Golden Sweet' - 1/2 lb"
PEA-GS,1lb,"Snow Pea, 'Golden Sweet' - 1 lb"
PEA-GS,2.5lb,
PEA-GS,5lb,"Snow Pea, 'Golden Sweet' - 5 lb"
PEA-HL,pkt,"Snow Pea, 'Ho Lan Dow' - Pkt"
PEA-HL,1/2lb,"Snow Pea, 'Ho Lan Dow' - 1/2 lb"
PEA-HL,1lb,"Snow Pea, 'Ho Lan Dow' - 1lb"
PEA-SR,pkt,"Snow Pea, 'Schweizer Riesen' - Pkt"
PEA-SR,1/2lb,"Snow Pea, 'Schweizer Riesen' - 1/2 lb"
PEA-SR,1lb,"Snow Pea, 'Schweizer Riesen' - 1 lb"
PEA-WX,pkt,"Pea, Petit Pois, 'Waverex' - Pkt"
PEA-WX,1/2lb,"Pea, Petit Pois, 'Waverex' - 1/2 lb"
PEP-BA,pkt,"Hot Pepper, 'Basque' - Pkt"
PEP-BA,100s,"Hot Pepper, 'Basque' - 100 seeds"
PEP-BA,250s,"Hot Pepper, 'Basque' - 250 seeds"
PEP-BA,1Ms,"Hot Pepper, 'Basque' - 1000 seeds"
PEP-CS,pkt,"Hot Pepper, 'Criolla Sella' - Pkt"
PEP-CS,100s,"Hot Pepper, 'Criolla Sella' - 100 seeds"
PEP-CS,500s,"Hot Pepper, 'Criolla Sella' - 500 seeds"
PEP-BR,pkt,"Hot Pepper, 'Biquinho Red' - Pkt"
PEP-BR,100s,"Hot Pepper, 'Biquinho Red' - 100 seeds"
PEP-BR,500s,"Hot Pepper, 'Biquinho Red' - 500 seeds"
PEP-BY,pkt,"Hot Pepper, 'Biquinho Yellow' - Pkt"
PEP-BY,100s,"Hot Pepper, 'Biquinho Yellow' - 100 seeds"
PEP-BY,500s,"Hot Pepper, 'Biquinho Yellow' - 500 seeds"
PEP-CZ,pkt,"Hot Pepper, 'Czech Black' - Pkt"
PEP-CZ,100s,"Hot Pepper, 'Czech Black' - 100 seeds"
PEP-CZ,250s,"Hot Pepper, 'Czech Black' - 250 seeds"
PEP-HP,pkt,"Hot Pepper, 'Hot Portugal' - Pkt"
PEP-HP,100s,"Hot Pepper, 'Hot Portugal' - 100 seeds"
PEP-HP,250s,"Hot Pepper, 'Hot Portugal' - 250 seeds"
PEP-PA,pkt,"Hot Pepper, 'Pimiento de Padron' - Pkt"
PEP-PA,100s,"Hot Pepper, 'Pimiento de Padron' - 100 seeds"
PEP-PA,250s,"Hot Pepper, 'Pimiento de Padron' - 250 seeds"
PEP-PA,1Ms,"Hot Pepper, 'Pimiento de Padron' - 1000 seeds"
PEP-SG,pkt,"Hot Pepper, 'Sarit Gat' - Pkt"
PEP-SG,100s,"Hot Pepper, 'Sarit Gat' - 100 seeds"
PEP-SG,250s,"Hot Pepper, 'Sarit Gat' - 250 seeds"
PEP-SG,1Ms,"Hot Pepper, 'Sarit Gat' - 1000 seeds"
PEP-SP,pkt,"Hot Pepper, 'Sugar Rush Peach' - Pkt"
PEP-SP,100s,"Hot Pepper, 'Sugar Rush Peach' - 100 seeds"
PEP-SP,250s,"Hot Pepper, 'Sugar Rush Peach' - 250 seeds"
PEP-SP,1Ms,"Hot Pepper, 'Sugar Rush Peach' - 1000 seeds"
PEP-TM,pkt,"Hot Pepper, 'Târgu Mureș' - Pkt"
PEP-TM,100s,"Hot Pepper, 'Târgu Mureș' - 100 seeds"
PEP-TM,250s,"Hot Pepper, 'Târgu Mureș' - 250 seeds"
PEP-TM,1Ms,"Hot Pepper, 'Târgu Mureș' - 1000 seeds"
PEP-AS,pkt,"Hot Pepper, 'Aci Sivri' - Pkt"
PEP-AS,100s,"Hot Pepper, 'Aci Sivri' - 100 seeds"
PEP-AS,250s,"Hot Pepper, 'Aci Sivri' - 250 seeds"
PEP-BP,pkt,"Sweet Pepper, 'Bridge to Paris' - Pkt"
PEP-BP,100s,"Sweet Pepper, 'Bridge to Paris' - 100 seeds"
PEP-BP,250s,"Sweet Pepper, 'Bridge to Paris' - 250 seeds"
PEP-CC,pkt,"Sweet Pepper, 'Criolla di Cochina' - Pkt"
PEP-CC,100s,"Sweet Pepper, 'Criolla di Cochina' - 100 seeds"
PEP-CC,250s,"Sweet Pepper, 'Criolla di Cochina' - 250 seeds"
PEP-CC,1Ms,"Sweet Pepper, 'Criolla di Cochina' - 1000 seeds"
PEP-DH,pkt,"Sweet Pepper, 'Doe Hill' - Pkt"
PEP-DH,100s,"Sweet Pepper, 'Doe Hill' - 100 seeds"
PEP-DH,250s,"Sweet Pepper, 'Doe Hill' - 250 seeds"
PEP-EE,pkt,"Sweet Pepper, 'Elephant's Ear' - Pkt"
PEP-EE,100s,"Sweet Pepper, 'Elephant's Ear' - 100 seeds"
PEP-EE,250s,"Sweet Pepper, 'Elephant's Ear' - 250 seeds"
PEP-EE,1Ms,"Sweet Pepper, 'Elephant's Ear' - 1000 seeds"
PEP-JN,pkt,"Sweet Pepper, 'Jimmy Nardello' - Pkt"
PEP-JN,100s,"Sweet Pepper, 'Jimmy Nardello' - 100 seeds"
PEP-JN,250s,"Sweet Pepper, 'Jimmy Nardello' - 250 seeds"
PEP-JN,1Ms,"Sweet Pepper, 'Jimmy Nardello' - 1000 seeds"
PEP-YN,pkt,"Sweet Pepper, 'Yellow Nardello' - Pkt"
PEP-YN,100s,"Sweet Pepper, 'Yellow Nardello' - 100 seeds"
PEP-YN,250s,"Sweet Pepper, 'Yellow Nardello' - 250 seeds"
PEP-YN,1Ms,"Sweet Pepper, 'Yellow Nardello' - 1000 seeds"
PEP-MP,pkt,"Sweet Pepper, 'Marta Polka' - Pkt"
PEP-MP,100s,"Sweet Pepper, 'Marta Polka' - 100 seeds"
PEP-MP,250s,"Sweet Pepper, 'Marta Polka' - 250 seeds"
PEP-MP,1Ms,"Sweet Pepper, 'Marta Polka' - 1000 seeds"
PEP-OK,pkt,"Sweet Pepper, 'Osmarsko Kambe' - Pkt"
PEP-OK,100s,"Sweet Pepper, 'Osmarsko Kambe' - 100 seeds"
PEP-OK,250s,"Sweet Pepper, 'Osmarsko Kambe' - 250 seeds"
PEP-PM,pkt,"Sweet Pepper, 'Petit Marseillais' - Pkt"
PEP-PM,100s,"Sweet Pepper, 'Petit Marseillais' - 100 seeds"
PEP-PM,250s,"Sweet Pepper, 'Petit Marseillais' - 250 seeds"
PEP-PM,1Ms,"Sweet Pepper, 'Petit Marseillais' - 1000 seeds"
PEP-SR,pkt,"Sweet Pepper, 'Stocky Red Roaster' - Pkt"
PEP-SR,100s,"Sweet Pepper, 'Stocky Red Roaster' - 100 seeds"
PEP-SR,250s,"Sweet Pepper, 'Stocky Red Roaster' - 250 seeds"
PEP-SR,1Ms,"Sweet Pepper, 'Stocky Red Roaster' - 1000 seeds"
RAD-FB,pkt,"Radish, 'French Breakfast' - Pkt"
RAD-FB,1oz,"Radish, 'French Breakfast' - 1 oz"
RAD-SO,pkt,"Radish, 'Sora' - Pkt"
RAD-SO,1oz,"Radish, 'Sora' - 1 oz"
RAD-GL,pkt,"Radish, Daikon 'Green Luobo' - Pkt"
RAD-GL,1oz,"Radish, Daikon 'Green Luobo' - 1 oz"
BRO-NO,pkt,"Cima di Rapa, 'Novantina' - Pkt"
BRO-NO,1/4oz,"Cima di Rapa, 'Novantina' - 1/4oz"
BRO-NO,1oz,"Cima di Rapa, 'Novantina' - 1oz"
BRO-SM,pkt,"Cima di Rapa, 'Cima Grossa San Martino' - Pkt"
BRO-SM,1/4oz,"Cima di Rapa, 'Cima Grossa San Martino' - 1/4 oz"
ONI-ER,pkt,"Shallot, 'Ed's Red' - Pkt"
ONI-ER,1/8oz,"Shallot, 'Ed's Red' - 1/8 oz"
ONI-ER,1/2oz,"Shallot, 'Ed's Red' - 1/2 oz"
ONI-ER,1oz,"Shallot, 'Ed's Red' - 1 oz"
GRE-BS,pkt,Blood Sorrel - Pkt
GRE-BS,1/8oz,Blood Sorrel - 1/8 oz
GRE-BS,1/2oz,Blood Sorrel - 1/2 oz
SPI-BE,pkt,"Spinach, 'Beaujolais' - Pkt"
SPI-BE,1oz,"Spinach, 'Beaujolais' - 1 oz"
SPI-BE,1/4lb,"Spinach, 'Beaujolais' - 1/4 lb"
SPI-BE,1lb,"Spinach, 'Beaujolais' - 1 lb"
SPI-WB,pkt,"Spinach, 'Winter Bloomsdale' - Pkt"
SPI-WB,1oz,"Spinach, 'Winter Bloomsdale' - 1 oz"
SPI-WB,1/4lb,"Spinach, 'Winter Bloomsdale' - 1/4 lb"
SPI-WB,1lb,"Spinach, 'Winter Bloomsdale' - 1 lb"
SPI-WG,pkt,"Spinach, 'Winter Giant' (Gigante d'Inverno) - Pkt"
SPI-WG,1oz,"Spinach, 'Winter Giant' (Gigante d'Inverno) - 1 oz"
SPI-WG,1/4lb,"Spinach, 'Winter Giant' (Gigante d'Inverno) - 1/4 lb"
SPI-WG,1lb,"Spinach, 'Winter Giant' (Gigante d'Inverno) - 1 lb"
SQU-YC,pkt,"Summer Squash, 'Yellow Crookneck' - Pkt"
SQU-YC,1oz,"Summer Squash, 'Yellow Crookneck' - 1 oz"
SQU-YC,1/4lb,"Summer Squash, 'Yellow Crookneck' - 1/4 lb"
SQU-YC,1lb,"Summer Squash, 'Yellow Crookneck' - 1 lb"
SQU-OD,pkt,"Summer Squash, 'Odesa' - Pkt"
SQU-OD,1oz,"Summer Squash, 'Odesa' - 1 oz"
SQU-OD,1/4lb,"Summer Squash, 'Odesa' - 1/4 lb"
SQU-OD,1lb,"Summer Squash, 'Odesa' - 1 lb"
ZUC-CR,pkt,"Zucchini, 'Costata Romanesco' - Pkt"
ZUC-CR,1oz,"Zucchini, 'Costata Romanesco' - 1 oz"
ZUC-CR,1/4lb,"Zucchini, 'Costata Romanesco' - 1/4 lb"
ZUC-CR,1lb,"Zucchini, 'Costata Romanesco' - 1 lb"
ZUC-DS,pkt,"Zucchini, 'Dark Star' - Pkt"
ZUC-DS,1oz,"Zucchini, 'Dark Star' - 1 oz"
ZUC-DS,1/4lb,"Zucchini, 'Dark Star' - 1/4 lb"
ZUC-DS,1lb,"Zucchini, 'Dark Star' - 1 lb"
CHA-RA,pkt,"Swiss Chard, 'Rainbow' - Pkt"
CHA-RA,1/2oz,
CHA-RA,1oz,"Swiss Chard, 'Rainbow' - 1 oz"
CHA-RA,1/4lb,"Swiss Chard, 'Rainbow' - 1/4 lb"
CHA-RH,pkt,"Swiss Chard, 'Rhubarb' - Pkt"
CHA-RH,1/2oz,
CHA-RH,1oz,"Swiss Chard, 'Rhubarb' - 1 oz"
TGC-DM,pkt,"Tomatilla, 'De Milpa' - Pkt"
TGC-DM,100s,"Tomatilla, 'De Milpa' - 100 seeds"
TGC-DM,250s,"Tomatilla, 'De Milpa' - 250 seeds"
TOM-AF,pkt,"Tomato, 'Afghan' - Pkt"
TOM-AF,100s,"Tomato, 'Afghan' - 100 seeds"
TOM-AF,250s,"Tomato, 'Afghan' - 250 seeds"
TOM-BP,pkt,"Tomato, 'Black Prince' - Pkt"
TOM-BP,100s,"Tomato, 'Black Prince' - 100 seeds"
TOM-BL,pkt,"Tomato, 'Blush' - Pkt"
TOM-BL,100s,"Tomato, 'Blush' - 100 seeds"
TOM-CA,pkt,"Tomato, 'Carbon' - Pkt"
TOM-CA,100s,"Tomato, 'Carbon' - 100 seeds"
TOM-CA,250s,"Tomato, 'Carbon' - 250 seeds"
TOM-CE,pkt,"Tomato, 'Ceylon' - Pkt"
TOM-CE,100s,"Tomato, 'Ceylon' - 100 seeds"
TOM-CE,250s,"Tomato, 'Ceylon' - 250 seeds"
TOM-AL,pkt,"Tomato, 'Cuor di Bue Albenga' - Pkt"
TOM-AL,100s,"Tomato, 'Cuor di Bue Albenga' - 100 seeds"
TOM-GA,pkt,"Tomato, 'Galina' - Pkt"
TOM-GA,100s,"Tomato, 'Galina' - 100 seeds"
TOM-GA,250s,"Tomato, 'Galina' - 250 seeds"
TOM-GM,pkt,"Tomato, 'Gold Medal' - Pkt"
TOM-GM,100s,"Tomato, 'Gold Medal' - 100 seeds"
TOM-GM,250s,"Tomato, 'Gold Medal' - 250 seeds"
TOM-IH,pkt,"Tomato, 'Italian Heirloom' - pkt"
TOM-IH,100s,"Tomato, 'Italian Heirloom' - 100 seeds"
TOM-IH,250s,"Tomato, 'Italian Heirloom' - 250 seeds"
TOM-JF,pkt,"Tomato, 'Jaune Flamme' - Pkt"
TOM-JF,100s,"Tomato, 'Jaune Flamme' - 100 seeds"
TOM-JF,250s,"Tomato, 'Jaune Flamme' - 250 seeds"
TOM-LA,pkt,"Tomato, 'Latah' - Pkt"
TOM-LA,100s,"Tomato, 'Latah' - 100 seeds"
TOM-LA,250s,"Tomato, 'Latah' - 250 seeds"
TOM-MY,pkt,"Tomato, 'Manyel' - Pkt"
TOM-MY,100s,"Tomato, 'Manyel' - 100 seeds"
TOM-MA,pkt,"Tomato, 'Matina' - Pkt"
TOM-MA,100s,"Tomato, 'Matina' - 100 seeds"
TOM-MA,250s,"Tomato, 'Matina' - 250 seeds"
TOM-MG,pkt,"Tomato, 'Moldovan Green' - Pkt"
TOM-MG,100s,"Tomato, 'Moldovan Green' - 100 seeds"
