sku_prefix,sku_suffix,lineitem_name
TOM-MG,250s,"Tomato, 'Moldovan Green' - 250 seeds"
TOM-NE,pkt,"Tomato, 'Nepal' - Pkt"
TOM-NE,100s,"Tomato, 'Nepal' - 100 seeds"
TOM-RP,pkt,"Tomato, 'Ruth's Perfect' - Pkt"
TOM-RP,100s,"Tomato, 'Ruth's Perfect' - 100 seeds"
TOM-SH,pkt,"Tomato, 'Sheboygan' - Pkt"
TOM-SH,100s,"Tomato, 'Sheboygan' - 100 seeds"
TOM-SH,250s,"Tomato, 'Sheboygan' - 250 seeds"
TOM-ST,pkt,"Tomato, 'Stupice' - Pkt"
TOM-ST,100s,"Tomato, 'Stupice' - 100 seeds"
TOM-ST,250s,"Tomato, 'Stupice' - 250 seeds"
TOM-SL,pkt,"Tomato, 'Super Luscious' - Pkt"
TOM-SL,100s,"Tomato, 'Super Luscious' - 100 seeds"
TOM-SL,250s,"Tomato, 'Super Luscious' - 250 seeds"
TOM-VZ,pkt,"Tomato, 'Vernazza' - Pkt"
TOM-VZ,50s,"Tomato, 'Vernazza' - 50 seeds"
TOM-BC,pkt,"Tomato, 'Black Cherry' - Pkt"
TOM-BC,100s,"Tomato, 'Black Cherry' - 100 seeds"
TOM-GS,pkt,"Tomato, 'Gardener's Sweetheart' - Pkt"
TOM-GS,100s,"Tomato, 'Gardener's Sweetheart' - 100 seeds"
TOM-GS,250s,"Tomato, 'Gardener's Sweetheart' - 250 seeds"
TOM-GG,pkt,"Tomato, 'Green Grape' - Pkt"
TOM-GG,100s,"Tomato, 'Green Grape' - 100 seeds"
TOM-KO,pkt,"Tomato, 'Koralik' - Pkt"
TOM-KO,100s,"Tomato, 'Koralik' - 100 seeds"
TOM-KO,250s,"Tomato, 'Koralik' - 250 seeds"
TOM-PI,pkt,"Tomato, 'Pinky' - Pkt"
TOM-PI,100s,"Tomato, 'Pinky' - 100 seeds"
TOM-PI,250s,"Tomato, 'Pinky' - 250 seeds"
TOM-PI,1Ms,"Tomato, 'Pinky' - 1000 seeds"
TOM-RF,pkt,"Tomato, 'Red Fig' - Pkt"
TOM-RF,100s,"Tomato, 'Red Fig' - 100 seeds"
TOM-SW,pkt,"Tomato, 'Snow White' - Pkt"
TOM-SW,100s,"Tomato, 'Snow White' - 100 seeds"
TOM-SO,pkt,"Tomato, 'Sweet Orange II' - Pkt"
TOM-SO,100s,"Tomato, 'Sweet Orange II' - 100 seeds"
TOM-SO,250s,"Tomato, 'Sweet Orange II' - 250 seeds"
TOM-FI,pkt,"Tomato, 'Fiaschetto di Manduria' - Pkt"
TOM-FI,100s,"Tomato, 'Fiaschetto di Manduria' - 100 seeds"
TOM-FI,250s,"Tomato, 'Fiaschetto di Manduria' - 250 seeds"
TOM-NR,pkt,"Tomato, 'Northern Ruby' - Pkt"
TOM-NR,100s,"Tomato, 'Northern Ruby' - 100 seeds"
TOM-AN,pkt,"Tomato, 'Annarita' - Pkt"
TOM-AN,100s,"Tomato, 'Annarita' - 100 seeds"
TOM-AN,250s,"Tomato, 'Annarita' - 250 seeds"
WAT-BM,pkt,"Watermelon, 'Blacktail Mountain' - Pkt"
WAT-BM,100s,"Watermelon, 'Blacktail Mountain' - 100 seeds"
WAT-CO,pkt,"Watermelon, 'Ҫekirdeği Oyali' - Pkt"
WAT-CO,100s,"Watermelon, 'Ҫekirdeği Oyali' - 100 seeds"
WAT-JK,pkt,"Watermelon, 'Janosik' - Pkt"
WAT-JK,100s,"Watermelon, 'Janosik' - 100 seeds"
WHE-BE,pkt,"Wheat, 'Black Eagle' - Pkt"
WHE-BE,1/4lb,"Wheat, 'Black Eagle' - 1/4 lb"
WHE-BE,1lb,"Wheat, 'Black Eagle' - 1 lb"
WHE-EB,pkt,"Wheat, 'Ethiopian Blue Tinge' - Pkt"
WHE-EB,1/4lb,"Wheat, 'Ethiopian Blue Tinge' - 1/4 lb"
WHE-EB,1lb,"Wheat, 'Ethiopian Blue Tinge' - 1 lb"
SQU-BI,pkt,"Winter Squash, 'Bitterroot Buttercup' - Pkt"
SQU-BI,1oz,"Winter Squash, 'Bitterroot Buttercup' - 1 oz"
SQU-BF,pkt,"Winter Squash, 'Black Forest Kabocha' - Pkt"
SQU-BF,1oz,"Winter Squash, 'Black Forest Kabocha' - 1 oz"
SQU-FU,pkt,"Winter Squash, 'Black Futsu' - Pkt"
SQU-FU,1oz,"Winter Squash, 'Black Futsu' - 1 oz"
SQU-FU,1/4lb,"Winter Squash, 'Black Futsu' - 1/4 lb"
SQU-BB,pkt,"Winter Squash, 'Burpee's Butterbush' - Pkt"
SQU-BB,1oz,"Winter Squash, 'Burpee's Butterbush' - 1 oz"
SQU-MG,pkt,"Winter Squash, 'Marine Grey Kabocha' - Pkt"
SQU-PO,pkt,"Winter Squash, 'Potimarron' - Pkt"
SQU-PO,1oz,"Winter Squash, 'Potimarron' - 1 oz"
SQU-SM,pkt,"Winter Squash, 'Oregon Homestead Sweet Meat' - Pkt"
SQU-SM,1oz,"Winter Squash, 'Oregon Homestead Sweet Meat' - 1 oz"
SQU-ZE,pkt,"Winter Squash, 'Zeppelin Delicata' - Pkt"
SQU-ZE,1oz,"Winter Squash, 'Zeppelin Delicata' - 1 oz"
SQU-ZM,pkt,"Winter Squash, 'Zucca Mantovana' - Pkt"
SQU-ZM,1oz,"Winter Squash, 'Zucca Mantovana' - 1 oz"
PUM-HO,pkt,Pumpkin 'Howden' - Pkt
PUM-HO,1oz,Pumpkin 'Howden' - 1 oz
PUM-LP,pkt,"Pumpkin, 'Long Pie' - Pkt"
PUM-LP,1oz,"Pumpkin, 'Long Pie' - 1 oz"
PUM-LP,1/4lb,"Pumpkin, 'Long Pie' - 1/4 lb"
PUM-ST,pkt,"Pumpkin, 'Styrian Hull-less' - Pkt"
PUM-ST,1oz,"Pumpkin, 'Styrian Hull-less' - 1 oz"
PUM-WL,pkt,"Pumpkin, 'Winter Luxury' - Pkt"
PUM-WL,1oz,"Pumpkin, 'Winter Luxury' - 1 oz"
PUM-WL,1/4lb,"Pumpkin, 'Winter Luxury' - 1/4 lb"
PUM-WL,1lb,"Pumpkin, 'Winter Luxury' - 1 lb"
HER-BC,pkt,"Nigella, 'Black Cumin' - Pkt"
HER-GC,pkt,German Chamomile - Pkt
HER-GC,1g,German Chamomile - 1g
HER-EC,pkt,Echinacea (Purple Coneflower) - Pkt
HER-IL,pkt,"Basil, 'Italian Large Leaf' - Pkt"
HER-IL,1/8oz,"Basil, 'Italian Large Leaf' - 1/8 oz"
HER-TU,pkt,"Basil, 'Tulsi' (Sacred Basil, Holy Basil) - Pkt"
HER-TU,500s,"Basil, 'Tulsi' (Sacred Basil, Holy Basil) - 500 seeds"
HER-TU,1Ms,"Basil, 'Tulsi' (Sacred Basil, Holy Basil) - 1000 seeds"
HER-PJ,pkt,"Cilantro, 'Pokey Joe' - Pkt"
HER-PJ,1oz,"Cilantro, 'Pokey Joe' - 1 oz"
HER-PJ,1/4lb,"Cilantro, 'Pokey Joe' - 1/4 lb"
HER-PJ,1lb,"Cilantro, 'Pokey Joe' - 1 lb"
HER-GK,pkt,"Dill, 'Goldkrone' - Pkt"
HER-GK,1/2oz,"Dill, 'Goldkrone' - 1/2 oz"
HER-AH,pkt,Anise Hyssop - Pkt
HER-AH,500s,Anise Hyssop - 500 seeds
HER-HY,pkt,Hyssop - Pkt
HER-HY,1Ms,Hyssop - 1000 seeds
HER-MT,pkt,Mexican Tarragon - Pkt
HER-MT,500s,Mexican Tarragon - 500 seeds
HER-MA,pkt,Marshmallow - Pkt
HER-ME,pkt,Mentuccia Romana - Pkt
HER-ME,1Ms,Mentuccia Romana - 1000 seeds
HER-MP,pkt,"Parsley, 'Mersin' - Pkt"
HER-MP,1/2oz,"Parsley, 'Mersin' - 1/2 oz"
HER-SC,pkt,Sculpit - Pkt
HER-BF,pkt,"Trigonella, 'Blue Fenugreek' - Pkt"
HER-BF,1/4oz,"Trigonella, 'Blue Fenugreek' - 1/4 oz"
HER-BF,1oz,"Trigonella, 'Blue Fenugreek' - 1 oz"
ACH-DD,pkt,"Pearl Yarrow, 'Double Diamond' - Pkt"
ACH-DD,1Ms,"Pearl Yarrow, 'Double Diamond' - 1000 seeds"
ACH-LP,pkt,"Siberian Yarrow, 'Love Parade' - Pkt"
ACH-LP,1Ms,"Siberian Yarrow, 'Love Parade' - 1000 seeds"
AMA-CF,pkt,"Amaranth, 'Coral Fountains' - Pkt"
AMA-CF,1/4oz,"Amaranth, 'Coral Fountains' - 1/4 oz"
AMA-CF,1oz,"Amaranth, 'Coral Fountains' - 1 oz"
AMA-CF,1/4lb,"Amaranth, 'Coral Fountains' - 1/4 lb"
AMA-CF,1lb,"Amaranth, 'Coral Fountains' - 1 lb"
AMA-EH,pkt,"Amaranth, 'Elephant's Head' - Pkt"
AMA-EH,1/4oz,"Amaranth, 'Elephant's Head' - 1/4 oz"
AMA-EH,1oz,"Amaranth, 'Elephant's Head' - 1 oz"
AMA-HB,pkt,"Amaranth, 'Hot Biscuits' - Pkt"
AMA-HB,1/4oz,"Amaranth, 'Hot Biscuits' - 1/4 oz"
AMA-HB,1oz,"Amaranth, 'Hot Biscuits' - 1 oz"
AMA-HB,1/4lb,"Amaranth, 'Hot Biscuits' - 1/4 lb"
AMA-LL,pkt,"Amaranth, 'Love Lies Bleeding' - Pkt"
AMA-LL,1/4oz,"Amaranth, 'Love Lies Bleeding' - 1/4 oz"
AMA-LL,1oz,"Amaranth, 'Love Lies Bleeding' - 1 oz"
AMA-LL,1/4lb,"Amaranth, 'Love Lies Bleeding' - 1/4 lb"
AMA-LL,1lb,"Amaranth, 'Love Lies Bleeding' - 1 lb"
AMA-OP,pkt,"Amaranth, 'Opopeo' - Pkt"
AMA-OP,1/4oz,"Amaranth, 'Opopeo' - 1/4 oz"
AMA-OP,1oz,"Amaranth, 'Opopeo' - 1 oz"
AMA-OP,1/4lb,"Amaranth, 'Opopeo' - 1/4 lb"
AMA-SU,pkt,"Amaranth/Callaloo, 'Suriname' - Pkt"
AMA-SU,1/4oz,"Amaranth/Callaloo, 'Suriname' - 1/4 oz"
AMA-SU,1oz,"Amaranth/Callaloo, 'Suriname' - 1 oz"
BAB-BB,pkt,"Bachelor's Button, 'Black Ball' - Pkt"
BAB-BB,1/4oz,"Bachelor's Button, 'Black Ball' - 1/4 oz"
BAB-FB,pkt,"Bachelor's Buttons, 'Florist Blue Boy' - Pkt"
BAB-FB,1/4oz,"Bachelor's Buttons, 'Florist Blue Boy' - 1/4 oz"
BFL-AB,pkt,"Basket Flower, 'Aloha Blanca' - Pkt"
FLO-BO,pkt,Borage - Pkt
FLO-BO,1oz,Borage - 1 oz
FLO-ED,pkt,Edible Flower Mix - Pkt
FLO-SA,pkt,Sainfoin - Pkt
BUP-GG,pkt,"Bupleurum, 'Green Gold' - Pkt"
BUP-GG,500s,"Bupleurum, 'Green Gold' - 500 seeds"
BUP-GG,1Ms,"Bupleurum, 'Green Gold' - 1000 seeds"
BUP-GG,5Ms,"Bupleurum, 'Green Gold' - 5000 seeds"
CAL-MX,pkt,Calendula Mix - Pkt
CAL-MX,1/2oz,
CAL-MX,1oz,Calendula Mix - 1 oz
CAL-ZE,pkt,"Calendula, 'Zeolights' - Pkt"
CAL-ZE,250s,"Calendula, 'Zeolights' - 250 seeds"
CEL-RP,pkt,"Celosia, 'Ruby Parfait' - Pkt"
CEL-RP,500s,"Celosia, 'Ruby Parfait' - 500 seeds"
CEL-RP,1Ms,"Celosia, 'Ruby Parfait' - 1000 seeds"
CEL-SC,pkt,"Celosia, 'Supercrest and Friends' - Pkt"
CEL-SC,500s,"Celosia, 'Supercrest and Friends' - 500 seeds"
CEL-SC,1Ms,"Celosia, 'Supercrest and Friends' - 1000 seeds"
CER-PG,pkt,"Cerinthe, 'Pride of Gibraltar' - Pkt"
CER-PG,100s,"Cerinthe, 'Pride of Gibraltar' - 100 seeds"
CER-PG,500s,"Cerinthe, 'Pride of Gibraltar' - 500 seeds"
AST-HP,pkt,"Aster, China, 'Hot Pants' - Pkt"
AST-HP,250s,"Aster, China, 'Hot Pants' - 250 seeds"
AST-HP,1Ms,"Aster, China, 'Hot Pants' - 1000 seeds"
AST-TC,pkt,"Aster, China, 'Tower Chamois' - Pkt"
AST-TC,250s,"Aster, China, 'Tower Chamois' - 250 seeds"
AST-TC,1Ms,"Aster, China, 'Tower Chamois' - 1000 seeds"
AST-HH,pkt,"Aster, China, 'Hazaster Hagen Light Blue' - Pkt"
AST-HH,250s,"Aster, China, 'Hazaster Hagen Light Blue' - 250 seeds"
CLE-VQ,pkt,"Cleome, 'Violet Queen' - Pkt"
CLE-VQ,250s,"Cleome, 'Violet Queen' - 250 seeds"
CLE-VQ,1Ms,"Cleome, 'Violet Queen' - 1000 seeds"
CLB-BL,pkt,"Columbine, 'Black Barlow' - Pkt"
CLB-BL,500s,"Columbine, 'Black Barlow' - 500 seeds"
CLB-BB,pkt,"Columbine, 'Bordeaux Barlow' - Pkt"
CLB-BB,500s,"Columbine, 'Bordeaux Barlow' - 500 seeds"
CLB-BB,1Ms,"Columbine, 'Bordeaux Barlow' - 1000 seeds"
CLB-LS,pkt,"Columbine, 'Longspur' - Pkt"
CLB-LS,500s,"Columbine, 'Longspur' - 500 seeds"
CLB-LS,1Ms,"Columbine, 'Longspur' - 1000 seeds"
CRP-RO,pkt,"Coreopsis, 'Roulette' - Pkt"
CRP-RO,500s,"Coreopsis, 'Roulette' - 500 seeds"
COS-DI,pkt,"Cosmos, 'Diablo' - Pkt"
COS-DI,250s,"Cosmos, 'Diablo' - 250 seeds"
COS-DI,1Ms,"Cosmos, 'Diablo' - 1000 seeds"
COS-SP,pkt,"Cosmos, 'Snow Puff' - Pkt"
COS-SP,250s,"Cosmos, 'Snow Puff' - 250 seeds"
COS-SP,1Ms,"Cosmos, 'Snow Puff' - 1000 seeds"
COS-VE,pkt,"Cosmos, 'Velouette' - Pkt"
COS-VE,250s,"Cosmos, 'Velouette' - 250 seeds"
CRA-SB,pkt,"Craspedia, 'Sun Ball' - Pkt"
CRA-SB,500s,"Craspedia, 'Sun Ball' - 500 seeds"
DAT-SA,pkt,"Datura, 'Sacred Datura' - Pkt"
ERY-BG,pkt,"Eryngium, 'Blue Glitter' - Pkt"
ERY-BG,100s,"Eryngium, 'Blue Glitter' - 100 seeds"
ERY-BG,500s,"Eryngium, 'Blue Glitter' - 500 seeds"
ERY-BG,1Ms,"Eryngium, 'Blue Glitter' - 1000 seeds"
FLA-OM,pkt,"Flax, 'Omega' - Pkt"
FLA-OM,1oz,"Flax, 'Omega' - 1 oz"
FLA-OM,1/4lb,"Flax, 'Omega' - 1/4 lb"
FLA-OM,1lb,"Flax, 'Omega' - 1 lb"
FOX-AB,pkt,"Foxglove, 'Apricot Beauty' - Pkt"
FOX-AB,1/4g,"Foxglove, 'Apricot Beauty' - 1/4 g"
FOX-AB,1g,"Foxglove, 'Apricot Beauty' - 1 g"
FOX-CC,pkt,"Foxglove, 'Café Crème' - Pkt"
FOX-CC,1Ms,"Foxglove, 'Café Crème' - 1000 seeds"
FOX-YH,pkt,"Foxglove, 'Giant Yellow Herold' - Pkt"
FOX-YH,500s,"Foxglove, 'Giant Yellow Herold' - 500 seeds"
FOX-WC,pkt,"Foxglove, 'Wild Cascades' - Pkt"
FOX-WC,1/4g,"Foxglove, 'Wild Cascades' - 1/4 g"
GYP-CG,pkt,"Gypsophila/Baby's Breath, 'Covent Garden' - Pkt"
GYP-CG,1Ms,"Gypsophila/Baby's Breath, 'Covent Garden' - 1000 seeds"
JAC-BP,pkt,"Jacobs Ladder, 'Blue Pearl' - Pkt"
JAC-BP,500s,"Jacobs Ladder, 'Blue Pearl' - 500 seeds"
LAR-BC,pkt,"Larkspur, 'Blue Cloud' - Pkt"
LAR-BC,500s,"Larkspur, 'Blue Cloud' - 500 seeds"
LAR-EG,pkt,"Larkspur, 'Earl Grey' - Pkt"
LAR-EG,250s,"Larkspur, 'Earl Grey' - 250 seeds"
LAR-EG,1Ms,"Larkspur, 'Earl Grey' - 1000 seeds"
LAR-SB,pkt,"Larkspur, 'Salmon Beauty' - Pkt"
LAR-SB,250s,"Larkspur, 'Salmon Beauty' - 250 seeds"
LAR-SB,1Ms,"Larkspur, 'Salmon Beauty' - 1000 seeds"
LAR-WC,pkt,"Larkspur, 'White Cloud' - Pkt"
LAR-WC,500s,"Larkspur, 'White Cloud' - 500 seeds"
MAR-FB,pkt,"Marigold, 'French Brocade' - Pkt"
MAR-FB,250s,"Marigold, 'French Brocade' - 250 seeds"
MAR-GE,pkt,"Marigold, 'Gems' - Pkt"
MAR-GE,250s,"Marigold, 'Gems' - 250 seeds"
MAR-PI,pkt,"Marigold, 'Pinwheel' - Pkt"
MAR-PI,250s,"Marigold, 'Pinwheel' - 250 seeds"
MGL-GO,pkt,"Morning Glory, 'Grandpa Ott's' - Pkt"
MGL-GO,200s,"Morning Glory, 'Grandpa Ott's' - 200 seeds"
VRB-AS,pkt,"Verbascum, 'Arctic Summer' - Pkt"
VRB-AS,1Ms,"Verbascum, 'Arctic Summer' - 1000 seeds"
VRB-PM,pkt,"Verbascum, 'Phoenician Mullein' - Pkt"
VRB-PM,1Ms,"Verbascum, 'Phoenician Mullein' - 1000 seeds"
NAS-AL,pkt,"Nasturtium, 'Alaska' - Pkt"
NAS-AL,1oz,"Nasturtium, 'Alaska' - 1 oz"
NAS-AL,1/4lb,"Nasturtium, 'Alaska' - 1/4 lb"
NAS-TM,pkt,"Nasturtium, 'Trailing Mix' - Pkt"
NAS-TM,1oz,"Nasturtium, 'Trailing Mix' - 1 oz"
NAS-TM,1/4lb,"Nasturtium, 'Trailing Mix' - 1/4 lb"
NIC-LD,pkt,"Nicotiana, 'Langsdorff's Tobacco' - Pkt"
NIC-LD,1Ms,"Nicotiana, 'Langsdorff's Tobacco' - 1000 seeds"
NIC-LG,pkt,"Nicotiana, 'Lime Green' - Pkt"
NIC-PS,pkt,"Nicotiana, 'Peach Screamer' - Pkt"
NIC-PS,1Ms,"Nicotiana, 'Peach Screamer' - 1000 seeds"
NIC-OL,pkt,"Nicotiana, 'Only the Lonely' - Pkt"
NIC-OL,1Ms,"Nicotiana, 'Only the Lonely' - 1000 seeds"
NIG-BS,pkt,"Nigella, 'Blue Stars' - pkt"
NIG-BS,500s,"Nigella, 'Blue Stars' - 500 seeds"
NIG-BS,1Ms,"Nigella, 'Blue Stars' - 1000 seeds"
NIG-EX,pkt,"Nigella, 'Exotica' - Pkt"
NIG-EX,500s,"Nigella, 'Exotica' - 500 seeds"
NIG-EX,1Ms,"Nigella, 'Exotica' - 1000 seeds"
NIG-BV,pkt,"Nigella, 'Bridal Veil' - Pkt"
NIG-BV,500s,"Nigella, 'Bridal Veil' - 500 seeds"
NIG-BV,1Ms,"Nigella, 'Bridal Veil' - 1000 seeds"
NIG-DB,pkt,"Nigella, 'Delft Blue' - Pkt"
NIG-DB,500s,"Nigella, 'Delft Blue' - 500 seeds"
NIG-DB,1Ms,"Nigella, 'Delft Blue' - 1000 seeds"
GRS-FE,pkt,"Ornamental Grass, 'Frosted Explosion' - Pkt"
GRS-FE,500s,"Ornamental Grass, 'Frosted Explosion' - 500 seeds"
GRS-FE,1Ms,"Ornamental Grass, 'Frosted Explosion' - 1000 seeds"
PHA-BF,pkt,"Phacelia, 'Bee's Friend' - Pkt"
PHA-BF,1oz,"Phacelia, 'Bee's Friend' - 1 oz"
POP-AG,pkt,"Poppy, Shirley, 'Amazing Grey' - Pkt"
POP-AG,1g,"Poppy, Shirley, 'Amazing Grey' - 1 gm"
POP-CA,pkt,"Poppy, California, 'California Mix' - Pkt"
POP-BS,pkt,"Poppy, Peony, 'Black Swan' - Pkt"
POP-BS,1g,"Poppy, Peony, 'Black Swan' - 1 gm"
POP-CO,pkt,"Poppy, Shirley, 'Cornfield' - Pkt"
POP-CO,1g,"Poppy, Shirley, 'Cornfield' - 1 gm"
POP-DF,pkt,"Poppy, Breadseed, 'Danish Flag' - pkt"
POP-DF,1g,"Poppy, Breadseed, 'Danish Flag' - 1 g"
POP-FA,pkt,"Poppy, Peony, 'Flemish Antique' - Pkt"
POP-FA,1g,"Poppy, Peony, 'Flemish Antique' - 1 gm"
POP-ZI,pkt,"Poppy, Breadseed, 'Ziar' - Pkt"
POP-ZI,1g,"Poppy, Breadseed, 'Ziar' - 1 g"
POP-PM,pkt,"Poppy, Iceland, 'Pastel Meadows' - Pkt"
POP-PM,500s,"Poppy, Iceland, 'Pastel Meadows' - 500 seeds"
POP-FW,pkt,"Poppy, Peony, 'Frilled White' - Pkt"
POP-FW,1g,"Poppy, Peony, 'Frilled White' - 1 gm"
POP-PA,pkt,"Poppy, Shirley, 'Pandora' - Pkt"
POP-PA,1g,"Poppy, Shirley, 'Pandora' - 1 gm"
RUD-AS,pkt,"Rudbeckia, 'Autumn Sunset' - Pkt"
RUD-AS,500s,"Rudbeckia, 'Autumn Sunset' - 500 seeds"
RUD-GW,pkt,"Rudbeckia, 'Green Wizard' - Pkt"
RUD-GW,500s,"Rudbeckia, 'Green Wizard' - 500 seeds"
RUD-GW,1Ms,"Rudbeckia, 'Green Wizard' - 1000 seeds"
RUD-PG,pkt,"Rudbeckia, 'Prairie Glow' - Pkt"
RUD-PG,500s,"Rudbeckia, 'Prairie Glow' - 500 seeds"
RUD-PR,pkt,"Rudbeckia, 'Prairie Sun' - Pkt"
RUD-PR,500s,"Rudbeckia, 'Prairie Sun' - 500 seeds"
RUD-SH,pkt,"Rudbeckia, 'Sahara' - Pkt"
RUD-SH,500s,"Rudbeckia, 'Sahara' - 500 seeds"
SAL-TH,pkt,"Salvia, 'Texas Hummingbird Sage' - Pkt"
SAL-TH,500s,"Salvia, 'Texas Hummingbird Sage' - 500 seeds"
SAL-TV,pkt,"Salvia, 'Transylvanian Sage' - Pkt"
SAL-TV,250s,"Salvia, 'Transylvanian Sage' - 250 seeds"
SAL-WS,pkt,"Salvia, 'White Swan' - Pkt"
SAL-WS,250s,"Salvia, 'White Swan' - 250 seeds"
SAL-WS,1Ms,"Salvia, 'White Swan' - 1000 seeds"
SCA-BK,pkt,"Scabiosa, 'Black Knight' - Pkt"
SCA-BK,250s,"Scabiosa, 'Black Knight' - 250 seeds"
SCA-FB,pkt,"Scabiosa, 'Fama Deep Blue' - Pkt"
SCA-FB,100s,"Scabiosa, 'Fama Deep Blue' - 100 seeds"
SCA-FB,250s,"Scabiosa, 'Fama Deep Blue' - 250 seeds"
SCA-FM,pkt,"Scabiosa, 'Fata Morgana' - Pkt"
SCA-FM,250s,"Scabiosa, 'Fata Morgana' - 250 seeds"
SCA-GY,pkt,"Scabiosa, 'Giant Yellow' - Pkt"
SCA-GY,100s,"Scabiosa, 'Giant Yellow' - 100 seeds"
SCA-GY,500s,"Scabiosa, 'Giant Yellow' - 500 seeds"
SCA-SB,pkt,"Scabiosa, 'Salmon Queen' - Pkt"
SCA-SB,250s,"Scabiosa, 'Salmon Queen' - 250 seeds"
SCA-SM,pkt,"Scabiosa, 'Snow Maiden' - Pkt"
SCA-SM,250s,"Scabiosa, 'Snow Maiden' - 250 seeds"
SCA-SK,pkt,"Scabiosa, 'Sternkugel' - Pkt"
SCA-SK,250s,"Scabiosa, 'Sternkugel' - 100 seeds"
SCA-SK,500s,"Scabiosa, 'Sternkugel' - 500 seeds"
POP-MP,pkt,"Poppy, Shirley 'Mother of Pearl' - Pkt"
POP-MP,1g,"Poppy, Shirley 'Mother of Pearl' - 1 gm"
STR-AP,pkt,"Strawflower, 'Apricot Peach Mix' - Pkt"
STR-AP,500s,"Strawflower, 'Apricot Peach Mix' - 500 seeds"
STR-MF,pkt,"Strawflower, 'Monstrosum Fireball' - Pkt"
STR-MF,500s,"Strawflower, 'Monstrosum Fireball' - 500 seeds"
STR-SR,pkt,"Strawflower, 'Silvery Rose' - Pkt"
STR-SR,500s,"Strawflower, 'Silvery Rose' - 500 seeds"
SUN-GA,pkt,"Sunflower, 'Garden Anarchy Mix' - Pkt"
SUN-GA,100s,"Sunflower, 'Garden Anarchy Mix' - 100 seeds"
SUN-GA,1Ms,"Sunflower, 'Garden Anarchy Mix' - 1000 seeds"
SUN-GS,pkt,"Sunflower, 'Giant Sungold' - Pkt"
SUN-GS,100s,"Sunflower, 'Giant Sungold' - 100 seeds"
SUN-RE,pkt,"Sunflower, 'Reds' - Pkt"
SUN-RE,100s,"Sunflower, 'Reds' - 100 seeds"
SUN-RE,1Ms,"Sunflower, 'Reds' - 1000 seeds"
SUN-SO,pkt,"Sunflower, 'Soraya' - Pkt"
SUN-SO,100s,"Sunflower, 'Soraya' - 100 seeds"
SUN-SO,1Ms,"Sunflower, 'Soraya' - 1000 seeds"
SUN-TA,pkt,Sunflower 'Tarahumara' - Pkt
SUN-TA,100s,Sunflower 'Tarahumara' - 100 seeds
SUN-TA,1Ms,Sunflower 'Tarahumara' - 1000 seeds
SUN-TG,pkt,Sunflower 'Transylvanian Giant' - Pkt
SUN-TG,100s,Sunflower 'Transylvanian Giant' - 100 seeds
SUN-TO,pkt,"Sunflower, Mexican, 'Torch' - Pkt"
SUN-TO,250s,"Sunflower, Mexican, 'Torch' - 250 seeds"
SWP-AP,pkt,"Sweet Pea, 'April in Paris' - Pkt"
SWP-AP,100s,"Sweet Pea, 'April in Paris' - 100 seeds"
VET-AZ,pkt,"Sweet Pea Sp., 'Azureus' - Pkt"
VET-AZ,100s,"Sweet Pea Sp., 'Azureus' - 100 seeds"
VET-AZ,500s,"Sweet Pea Sp., 'Azureus' - 500 seeds"
VET-AZ,1/4lb,"Sweet Pea Sp., 'Azureus' - 1/4 lb"
SWP-BR,pkt,"Sweet Pea, 'Bristol' - Pkt"
SWP-BR,100s,"Sweet Pea, 'Bristol' - 100 seeds"
